Format,Year,Units,Revenue,Revenue (Inflation Adjusted)
Paid Subscription,2017,,3500600000,3586100000
Paid Subscription,2018,,4656000000,4656000000
Ringtones and Ringbacks,1973,0,0,0
Ringtones and Ringbacks,1974,0,0,0
Ringtones and Ringbacks,1975,0,0,0
Ringtones and Ringbacks,1976,0,0,0
Ringtones and Ringbacks,1977,0,0,0
Ringtones and Ringbacks,1978,0,0,0
Ringtones and Ringbacks,1979,0,0,0
Ringtones and Ringbacks,1980,0,0,0
Ringtones and Ringbacks,1981,0,0,0
Ringtones and Ringbacks,1982,0,0,0
Ringtones and Ringbacks,1983,0,0,0
Ringtones and Ringbacks,1984,0,0,0
Ringtones and Ringbacks,1985,0,0,0
Ringtones and Ringbacks,1986,0,0,0
Ringtones and Ringbacks,1987,0,0,0
Ringtones and Ringbacks,1988,0,0,0
Ringtones and Ringbacks,1989,0,0,0
Ringtones and Ringbacks,1990,0,0,0
Ringtones and Ringbacks,1991,0,0,0
Ringtones and Ringbacks,1992,0,0,0
Ringtones and Ringbacks,1993,0,0,0
Ringtones and Ringbacks,1994,0,0,0
Ringtones and Ringbacks,1995,0,0,0
Ringtones and Ringbacks,1996,0,0,0
Ringtones and Ringbacks,1997,0,0,0
Ringtones and Ringbacks,1998,0,0,0
Ringtones and Ringbacks,1999,0,0,0
Ringtones and Ringbacks,2000,0,0,0
Ringtones and Ringbacks,2001,0,0,0
Ringtones and Ringbacks,2002,0,0,0
Ringtones and Ringbacks,2003,0,0,0
Ringtones and Ringbacks,2004,0,0,0
Ringtones and Ringbacks,2005,170000000,421600000,529100000
Ringtones and Ringbacks,2006,315000000,773800000,940800000
Ringtones and Ringbacks,2007,433800000,1055800000,1248400000
Ringtones and Ringbacks,2008,405100000,977100000,1112400000
Ringtones and Ringbacks,2009,294300000,702800000,803000000
Ringtones and Ringbacks,2010,188500000,448000000,503600000
Ringtones and Ringbacks,2011,115400000,276200000,301000000
Ringtones and Ringbacks,2012,58800000,146000000,159700000
Ringtones and Ringbacks,2013,39400000,98000000,105600000
Ringtones and Ringbacks,2014,26600000,66300000,70300000
Ringtones and Ringbacks,2015,21900000,54600000,57800000
Ringtones and Ringbacks,2016,22600000,56300000,58900000
Ringtones and Ringbacks,2017,14300000,35500000,36400000
Ringtones and Ringbacks,2018,10000000,25000000,25000000
SACD,1973,0,0,0
SACD,1974,0,0,0
SACD,1975,0,0,0
SACD,1976,0,0,0
SACD,1977,0,0,0
SACD,1978,0,0,0
SACD,1979,0,0,0
SACD,1980,0,0,0
SACD,1981,0,0,0
SACD,1982,0,0,0
SACD,1983,0,0,0
SACD,1984,0,0,0
SACD,1985,0,0,0
SACD,1986,0,0,0
SACD,1987,0,0,0
SACD,1988,0,0,0
SACD,1989,0,0,0
SACD,1990,0,0,0
SACD,1991,0,0,0
SACD,1992,0,0,0
SACD,1993,0,0,0
SACD,1994,0,0,0
SACD,1995,0,0,0
SACD,1996,0,0,0
SACD,1997,0,0,0
SACD,1998,0,0,0
SACD,1999,0,0,0
SACD,2000,0,0,0
SACD,2001,0,0,0
SACD,2002,0,0,0
SACD,2003,1300000,26300000,35000000
SACD,2004,800000,16600000,21500000
SACD,2005,500000,10000000,12600000
SACD,2006,300000,5500000,6700000
SACD,2007,200000,3600000,4300000
SACD,2008,100000,3100000,3500000
SACD,2009,100000,2400000,2700000
SACD,2010,100000,1700000,1900000
SACD,2011,100000,1500000,1600000
SACD,2012,100000,1300000,1500000
SACD,2013,0,1000000,1100000
SACD,2014,0,800000,800000
SACD,2015,0,1000000,1100000
SACD,2016,0,1200000,1300000
SACD,2017,0,900000,900000
SACD,2018,0,900000,900000
SoundExchange Distributions,1973,0,0,0
SoundExchange Distributions,1974,0,0,0
SoundExchange Distributions,1975,0,0,0
SoundExchange Distributions,1976,0,0,0
SoundExchange Distributions,1977,0,0,0
SoundExchange Distributions,1978,0,0,0
SoundExchange Distributions,1979,0,0,0
SoundExchange Distributions,1980,0,0,0
SoundExchange Distributions,1981,0,0,0
SoundExchange Distributions,1982,0,0,0
SoundExchange Distributions,1983,0,0,0
SoundExchange Distributions,1984,0,0,0
SoundExchange Distributions,1985,0,0,0
SoundExchange Distributions,1986,0,0,0
SoundExchange Distributions,1987,0,0,0
SoundExchange Distributions,1988,0,0,0
SoundExchange Distributions,1989,0,0,0
SoundExchange Distributions,1990,0,0,0
SoundExchange Distributions,1991,0,0,0
SoundExchange Distributions,1992,0,0,0
SoundExchange Distributions,1993,0,0,0
SoundExchange Distributions,1994,0,0,0
SoundExchange Distributions,1995,0,0,0
SoundExchange Distributions,1996,0,0,0
SoundExchange Distributions,1997,0,0,0
SoundExchange Distributions,1998,0,0,0
SoundExchange Distributions,1999,0,0,0
SoundExchange Distributions,2000,0,0,0
SoundExchange Distributions,2001,0,0,0
SoundExchange Distributions,2002,0,0,0
SoundExchange Distributions,2003,0,0,0
SoundExchange Distributions,2004,0,6900000,9000000
SoundExchange Distributions,2005,0,20400000,25600000
SoundExchange Distributions,2006,0,32800000,39900000
SoundExchange Distributions,2007,0,36200000,42800000
SoundExchange Distributions,2008,0,100000000,113800000
SoundExchange Distributions,2009,0,155500000,177700000
SoundExchange Distributions,2010,0,249200000,280100000
SoundExchange Distributions,2011,0,292000000,318200000
SoundExchange Distributions,2012,0,462000000,505300000
SoundExchange Distributions,2013,0,590400000,636400000
SoundExchange Distributions,2014,0,773400000,820300000
SoundExchange Distributions,2015,0,802600000,850300000
SoundExchange Distributions,2016,0,883900000,924800000
SoundExchange Distributions,2017,0,652000000,667900000
SoundExchange Distributions,2018,0,952800000,952800000
Synchronization,1973,0,0,0
Synchronization,1974,0,0,0
Synchronization,1975,0,0,0
Synchronization,1976,0,0,0
Synchronization,1977,0,0,0
Synchronization,1978,0,0,0
Synchronization,1979,0,0,0
Synchronization,1980,0,0,0
Synchronization,1981,0,0,0
Synchronization,1982,0,0,0
Synchronization,1983,0,0,0
Synchronization,1984,0,0,0
Synchronization,1985,0,0,0
Synchronization,1986,0,0,0
Synchronization,1987,0,0,0
Synchronization,1988,0,0,0
Synchronization,1989,0,0,0
Synchronization,1990,0,0,0
Synchronization,1991,0,0,0
Synchronization,1992,0,0,0
Synchronization,1993,0,0,0
Synchronization,1994,0,0,0
Synchronization,1995,0,0,0
Synchronization,1996,0,0,0
Synchronization,1997,0,0,0
Synchronization,1998,0,0,0
Synchronization,1999,0,0,0
Synchronization,2000,0,0,0
Synchronization,2001,0,0,0
Synchronization,2002,0,0,0
Synchronization,2003,0,0,0
Synchronization,2004,0,0,0
Synchronization,2005,0,0,0
Synchronization,2006,0,0,0
Synchronization,2007,0,0,0
Synchronization,2008,0,0,0
Synchronization,2009,0,201200000,229900000
Synchronization,2010,0,188700000,212100000
Synchronization,2011,0,196500000,214100000
Synchronization,2012,0,190600000,208500000
Synchronization,2013,0,189700000,204500000
Synchronization,2014,0,189700000,201200000
Synchronization,2015,0,202900000,215000000
Synchronization,2016,0,214800000,224800000
Synchronization,2017,0,232100000,237800000
Synchronization,2018,0,285500000,285500000
Vinyl Single,1973,228000000,190000000,1048900000
Vinyl Single,1974,204000000,194000000,964600000
Vinyl Single,1975,164000000,211500000,963600000
Vinyl Single,1976,190000000,245100000,1055900000
Vinyl Single,1977,190000000,245100000,991400000
Vinyl Single,1978,190000000,260300000,978600000
Vinyl Single,1979,212000000,353600000,1193900000
Vinyl Single,1980,157000000,250000000,743700000
Vinyl Single,1981,154700000,256400000,691400000
Vinyl Single,1982,137200000,283000000,718800000
Vinyl Single,1983,124800000,269300000,662800000
Vinyl Single,1984,131500000,298700000,704700000
Vinyl Single,1985,120700000,281000000,640100000
Vinyl Single,1986,93900000,228100000,510100000
Vinyl Single,1987,82000000,203300000,438700000
Vinyl Single,1988,65600000,180400000,373800000
Vinyl Single,1989,36600000,116400000,230100000
Vinyl Single,1990,27600000,94400000,177000000
Vinyl Single,1991,22000000,63900000,115000000
Vinyl Single,1992,19800000,66400000,116000000
Vinyl Single,1993,15100000,51200000,86900000
Vinyl Single,1994,11700000,47200000,78100000
Vinyl Single,1995,10200000,46700000,75100000
Vinyl Single,1996,10100000,47500000,74200000
Vinyl Single,1997,7500000,35600000,54400000
Vinyl Single,1998,5400000,25700000,38600000
Vinyl Single,1999,5300000,27900000,41000000
Vinyl Single,2000,4800000,26300000,37400000
Vinyl Single,2001,5500000,31400000,43500000
Vinyl Single,2002,4400000,24900000,33900000
Vinyl Single,2003,3800000,21500000,28600000
Vinyl Single,2004,3500000,19900000,25800000
Vinyl Single,2005,2300000,13200000,16600000
Vinyl Single,2006,1500000,9900000,12000000
Vinyl Single,2007,600000,4000000,4700000
Vinyl Single,2008,400000,2900000,3300000
Vinyl Single,2009,300000,2500000,2900000
Vinyl Single,2010,300000,2300000,2600000
Vinyl Single,2011,400000,4600000,5000000
Vinyl Single,2012,400000,4700000,5200000
Vinyl Single,2013,300000,3000000,3200000
Vinyl Single,2014,500000,5500000,5800000
Vinyl Single,2015,500000,5800000,6100000
Vinyl Single,2016,400000,4900000,5100000
Vinyl Single,2017,400000,6100000,6200000
Vinyl Single,2018,300000,5300000,5300000
